College,Degree,GradYear,AssignedGiftOfficer,Spouse,Email,PhoneNumber,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,TotalGiving,FY21,FY20,FY19,FY18,FY17
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1955,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,180,0,0,0,25
College for Men,Bachelor of Arts,1955,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,17110,1000,500,500,500,500
College for Men,Bachelor of Arts,1955,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27125,1000,0,0,1000,0
College for Women,Bachelor of Arts,1959,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1959,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0
Seminary,Bachelor of Arts,1959,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,522,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,0,75,0,0,18
College for Men,Bachelor of Arts,1959,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0
College for Women,Bachelor of Arts,1959,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1959,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1959,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
