College,Degree,50s,60s,70s,80s,90s,2000s,2010s,2020s,AssignedGiftOfficer,Spouse,Email,Phone Number,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,LifetimeGiving,FY21,FY20,FY19,FY18,FY17,FY16,FY15,FY14,FY13,FY12,FY11,FY10,FY09,FY08,FY07,FY06,FY05,FY04,FY03,FY02
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1349,0,0,210,91,36,36,36,18,72,72,54,54,50,0,0,36,36,36,36,18
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1349,0,0,210,91,36,36,36,18,72,72,54,54,50,0,0,36,36,36,36,18
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1349,0,100,0,0,200,0,0,0,60,80,100,80,118,536,75,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1349,0,100,0,0,200,0,0,0,60,80,100,80,118,536,75,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1348,0,200,0,0,0,50,0,0,500,0,0,0,0,0,0,50,0,36,18,43
Seminary,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,100,0,100,200,200,172,250,0,100,150,75,0,0
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1346,0,0,0,0,0,360,0,0,0,0,0,100,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1344,50,100,0,100,0,180,40,40,0,40,40,40,40,0,0,40,0,40,40,50
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1344,0,36,0,18,0,0,0,0,0,54,0,36,0,200,0,250,100,150,0,50
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341,36,0,0,0,0,25,0,0,100,36,36,36,0,36,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1340,0,0,0,360,0,0,0,0,0,0,0,100,180,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1339,1050,0,0,136,36,36,0,36,0,0,20,0,25,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1339,1050,0,0,136,36,36,0,36,0,0,20,0,25,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1338,820,0,0,0,0,0,0,0,0,0,0,180,180,36,0,0,0,0,0,50
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1338,0,0,0,0,0,0,0,0,0,360,0,0,0,360,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1338,0,0,0,0,0,0,0,0,0,360,0,0,0,360,0,0,0,0,0,0
Seminary,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,180,75,0,0,150,75,0,0,0,0,0,0
College for Men,Bachelor of Science,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1337,25,25,20,18,25,18,25,18,18,36,61,60,18,18,15,25,38,20,23,36
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1336,200,0,0,50,0,86,200,0,250,550,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1336,0,0,0,0,30,0,5,0,5,0,0,0,0,0,0,0,50,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1336,0,0,0,0,30,0,5,0,5,0,0,0,0,0,0,0,50,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1334,100,0,0,0,0,18,0,0,0,18,36,0,36,1000,0,18,36,18,0,0
Business,Bachelor of Science,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1333,0,5,0,10,18,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1330,200,500,360,0,250,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50,100,50
Business,Bachelor of Science,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1329,36,118,118,0,36,36,0,18,18,93,75,75,18,0,18,18,18,18,18,0
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,108,0,0,75,1000,0,0,0,0,0,0
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100
Seminary,Bachelor of Arts,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,50,75,75,0,75,75,0,50,0,0,50,0,50
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1325,0,0,0,180,0,0,100,250,160,50,10,575,0,0,0,0,0,0,0,0
